image_link,group_id,entity_name,entity_value
https://m.media-amazon.com/images/I/51k7GMS8dgL.jpg,630869,depth,21.0 centimetre
https://m.media-amazon.com/images/I/51YfTCUszCL.jpg,630869,depth,20.5 centimetre
https://m.media-amazon.com/images/I/51F7vcA4YNL.jpg,630869,depth,63.0 millimetre
https://m.media-amazon.com/images/I/61EsldyUWpL.jpg,630869,depth,5.0 centimetre
https://m.media-amazon.com/images/I/51GzV0nG31L.jpg,675317,depth,132.0 millimetre
https://m.media-amazon.com/images/I/51Nx8SJbQoL.jpg,641642,depth,12.0 millimetre
https://m.media-amazon.com/images/I/51lgIV0x66S.jpg,630869,depth,18.0 centimetre
https://m.media-amazon.com/images/I/51VljlfQ45L.jpg,396159,depth,35.0 centimetre
https://m.media-amazon.com/images/I/61ASyOTCPKL.jpg,630869,depth,20.0 centimetre
https://m.media-amazon.com/images/I/6164esKEJ8L.jpg,881883,depth,29.0 inch
https://m.media-amazon.com/images/I/614v56ADNXL.jpg,483370,depth,6.2 centimetre
https://m.media-amazon.com/images/I/61+0mg7Y-6L.jpg,730429,depth,23.8 centimetre
https://m.media-amazon.com/images/I/616yGsRWLUL.jpg,681445,depth,5.31 inch
https://m.media-amazon.com/images/I/611GVtaeEaL.jpg,630869,depth,19.5 centimetre
https://m.media-amazon.com/images/I/519QiLpg5dS.jpg,752266,depth,27.5 inch
https://m.media-amazon.com/images/I/610ql7XMMoL.jpg,675317,depth,9.0 centimetre
https://m.media-amazon.com/images/I/51TgYJT7x+L.jpg,140266,depth,40.0 millimetre
https://m.media-amazon.com/images/I/51KTgw9JwNL.jpg,107694,depth,96.0 centimetre
https://m.media-amazon.com/images/I/614oP+sQ0ZL.jpg,969033,depth,75.0 centimetre
https://m.media-amazon.com/images/I/51z2XMroEzL.jpg,881883,depth,180.0 centimetre
https://m.media-amazon.com/images/I/61FjzNtdTHL.jpg,752266,depth,48.0 centimetre
https://m.media-amazon.com/images/I/61FF+r9J2ZL.jpg,208023,depth,42.0 centimetre
https://m.media-amazon.com/images/I/514aPyGik+L.jpg,630869,depth,17.0 centimetre
https://m.media-amazon.com/images/I/51570Xw1yjL.jpg,675317,depth,54.0 millimetre
https://m.media-amazon.com/images/I/614ePaJOAxL.jpg,245959,depth,51.0 centimetre
https://m.media-amazon.com/images/I/61AVX7XZcGL.jpg,630869,depth,2.75 inch
https://m.media-amazon.com/images/I/61+6oGdr+EL.jpg,630869,depth,21.0 centimetre
https://m.media-amazon.com/images/I/31vPHCK64lL.jpg,752266,depth,90.0 centimetre
https://m.media-amazon.com/images/I/617C5TqTghL.jpg,630869,depth,200.0 millimetre
https://m.media-amazon.com/images/I/61AZ2E+yZjL.jpg,483370,depth,15.0 centimetre
https://m.media-amazon.com/images/I/51LU5y2YzsL.jpg,630869,depth,17.5 centimetre
https://m.media-amazon.com/images/I/51sVaUv9G0L.jpg,630869,depth,8.5 inch
https://m.media-amazon.com/images/I/51GtD+1dyvS.jpg,752266,depth,9.2 centimetre
https://m.media-amazon.com/images/I/612+J1eaDhL.jpg,483370,depth,15.0 centimetre
https://m.media-amazon.com/images/I/61CjbuDwrXL.jpg,847223,depth,5.5 centimetre
https://m.media-amazon.com/images/I/615L7K2ozTL.jpg,630869,depth,21.0 centimetre
https://m.media-amazon.com/images/I/615wNwXbN3L.jpg,396159,depth,140.0 centimetre
https://m.media-amazon.com/images/I/613a7Cn6e0L.jpg,881883,depth,57.4 inch
https://m.media-amazon.com/images/I/61BrCr00RbL.jpg,641642,depth,50.0 centimetre
https://m.media-amazon.com/images/I/6156ZPiZMYL.jpg,847223,depth,1.77 inch
https://m.media-amazon.com/images/I/616-Bp5N2sL.jpg,978900,depth,206.0 millimetre
https://m.media-amazon.com/images/I/61BVTRfq9mS.jpg,630869,depth,14.0 centimetre
https://m.media-amazon.com/images/I/51416kjTfQL.jpg,329793,depth,8.0 inch
